Код раздела,ROFA,K,L,ward,complete,average,single
A,0.0284438815486594,12659741.833333334,161324791.8216667,1,3,2,1
B,0.019001434212485,42000380.0,108696126.12666668,1,3,2,1
C,0.0290805067972316,40131529.333333336,469609931.4533333,2,2,1,3
D,0.0081639271700346,29250986.666666668,84812849.98333333,1,3,2,1
E,0.0071807341326283,5519033.166666667,25765810.23666667,1,3,2,1
F,0.1115772842743194,4599606.333333333,290678525.9316667,1,3,2,1
G,0.1613864662289412,7363811.833333333,574094370.4599999,2,2,1,3
H,0.0073102711347892,82763020.66666667,293573875.0116667,3,1,3,2
I,0.0279534838806071,2738810.1666666665,52123174.88333333,1,3,2,1
J,0.026328290562995,8944900.0,128402850.86,1,3,2,1
K,0.0748894560374844,6195783.333333333,149583117.16,1,3,2,1
L,0.0075992291577159,148675575.66666666,72799399.87,3,1,4,4
M,0.0366242383054423,10370225.333333334,218469113.4766667,1,3,2,1
N,0.049603804257071,4343473.0,70681934.57833333,1,3,2,1
O,0.0205993796917726,32983616.666666668,193441183.57666668,1,3,2,1
P,0.0179252682978139,14350854.166666666,208587930.58,1,3,2,1
Q,0.0230406006888245,12133824.833333334,199635846.6266667,1,3,2,1
R,0.0132866394819712,6216339.0,55065749.06333333,1,3,2,1
