Код раздела,Название раздела,ln_ROFA,ln_K,ln_L,t,ward,complete,average,single
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",-3.3967888201656127,16.114768823198517,18.685104401413675,2017,3,4,2,1
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",-3.499328328226546,16.234239922351524,18.769049672048723,2018,3,4,2,1
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",-3.443595577023036,16.212481221625147,18.837347252145342,2019,3,4,2,1
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",-3.5411726620363466,16.31181887764252,18.88018363289744,2020,3,4,2,1
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",-3.689787907475536,16.452145527461397,18.99219627162034,2021,3,4,2,1
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",-3.860437605595616,16.68718188092703,19.157328164050394,2022,3,4,2,1
B,Добыча полезных ископаемых,-3.7020259653850798,17.235667924417413,18.245343728918538,2017,2,2,1,3
B,Добыча полезных ископаемых,-3.790643598772645,17.34743296892782,18.369011827448713,2018,2,2,1,3
B,Добыча полезных ископаемых,-3.932007004176093,17.51370744467372,18.450281795107237,2019,2,2,1,3
B,Добыча полезных ископаемых,-4.071461739959159,17.585743752280603,18.506728166570564,2020,2,2,1,3
B,Добыча полезных ископаемых,-4.092540365024428,17.64371820822516,18.60221108615192,2021,2,2,1,3
B,Добыча полезных ископаемых,-4.312458922216547,17.867186804207606,18.76710171064753,2022,2,2,1,3
C,Обрабатывающие производства,-3.323432463926493,17.183599073692374,19.785964571040378,2017,4,4,3,1
C,Обрабатывающие производства,-3.3985430065101894,17.29756732910919,19.831521925572062,2018,4,4,3,1
C,Обрабатывающие производства,-3.4830811209888184,17.410377832007633,19.895247414564757,2019,4,4,3,1
C,Обрабатывающие производства,-3.59319217912821,17.521897679536064,19.92869457169698,2020,4,4,3,1
C,Обрабатывающие производства,-3.619444684003968,17.606212215285087,20.07462214920883,2021,4,4,3,1
C,Обрабатывающие производства,-3.911443260782054,17.8731016089858,20.220065221410156,2022,4,4,3,1
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",-4.48924042676562,16.801794486149298,18.10406750901866,2017,4,3,3,1
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",-4.626579324408047,16.960669614148696,18.159459551329256,2018,4,3,3,1
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",-4.789957524807741,17.114101369118917,18.20931698823239,2019,4,3,3,1
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",-4.950508849393901,17.243684348870875,18.251487577083275,2020,4,3,3,1
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",-4.967007405075722,17.31972759761352,18.331893776261417,2021,4,3,3,1
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",-5.183269470229486,17.536868479983678,18.441641625703,2022,4,3,3,1
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",-4.930467779284298,15.459678538759299,16.89312282880264,2017,2,2,1,3
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",-4.977027577542603,15.508738363977907,16.941801641643927,2018,2,2,1,3
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",-4.805119441001322,15.368630785399812,17.002311646754002,2019,2,2,1,3
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",-4.884163078642925,15.45051504243832,17.033201240829044,2020,2,2,1,3
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",-4.903919087763518,15.567474762349166,17.16117266707377,2021,2,2,1,3
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",-5.150565967542058,15.743969894893981,17.297932947492185,2022,2,2,1,3
F,Строительство,-1.9042833479832444,14.992034361850804,19.175897536227804,2017,4,3,3,1
F,Строительство,-2.0042325984451486,15.110983748584147,19.321495678637575,2018,4,3,3,1
F,Строительство,-2.233446770072909,15.321659363447012,19.426908070548574,2019,4,3,3,1
F,Строительство,-2.2736516931689517,15.3277765586461,19.433923456229266,2020,4,3,3,1
F,Строительство,-2.329368797744325,15.43598355922347,19.63691340752239,2021,4,3,3,1
F,Строительство,-2.5469590344283457,15.702583388809774,19.803669244356215,2022,4,3,3,1
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,-1.582152129403857,15.531121615783206,19.90048440802084,2017,3,4,2,1
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,-1.7073099426493983,15.67127137282697,19.998660879569478,2018,3,4,2,1
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,-1.8137069786690607,15.779985734070522,20.1102691895697,2019,3,4,2,1
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,-1.8772182375729443,15.830250498543057,20.11846706263732,2020,3,4,2,1
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,-1.8408286421450082,15.850907339463838,20.31824254138471,2021,3,4,2,1
G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,-2.237885217166488,16.11217827778778,20.456655245631666,2022,3,4,2,1
H,Транспортировка и хранение,-4.580798242468024,17.821010372690544,19.25534319291267,2017,2,2,1,3
H,Транспортировка и хранение,-4.66007243373178,17.930433492266385,19.353368583073184,2018,2,2,1,3
H,Транспортировка и хранение,-4.864747743701041,18.151742110603966,19.431840243968505,2019,2,2,1,3
H,Транспортировка и хранение,-5.131270096804906,18.30306773883997,19.478448308328012,2020,2,2,1,3
H,Транспортировка и хранение,-5.145660969024839,18.39063068986639,19.61201173310769,2021,2,2,1,3
H,Транспортировка и хранение,-5.359833520930214,18.586776860679965,19.768464371124082,2022,2,2,1,3
I,Деятельность гостиниц и предприятий общественного питания,-3.3844268488473386,14.565860984692517,17.50011545918037,2017,1,1,2,1
I,Деятельность гостиниц и предприятий общественного питания,-3.3731120039286266,14.621785510792407,17.626261963380106,2018,1,1,2,1
I,Деятельность гостиниц и предприятий общественного питания,-3.371002332496246,14.645343214294773,17.72165786483465,2019,1,1,2,1
I,Деятельность гостиниц и предприятий общественного питания,-3.7180112838272974,14.707720869819939,17.67705882442327,2020,1,1,2,1
I,Деятельность гостиниц и предприятий общественного питания,-3.852477615827129,15.055249364796744,17.91868404576695,2021,1,1,2,1
I,Деятельность гостиниц и предприятий общественного питания,-3.9283261005152914,15.173252397871996,18.063251714190944,2022,1,1,2,1
J,Деятельность в области информации и связи,-3.4869074781451057,15.704600740101698,18.2589897163551,2017,4,4,3,1
J,Деятельность в области информации и связи,-3.5950661048609502,15.868852062721597,18.395100768271796,2018,4,4,3,1
J,Деятельность в области информации и связи,-3.585323027960782,15.92332549082564,18.533018996442674,2019,4,4,3,1
J,Деятельность в области информации и связи,-3.686786793795708,16.040919098601318,18.668150161198977,2020,4,4,3,1
J,Деятельность в области информации и связи,-3.6502405350617035,16.09187866960803,18.836872580053285,2021,4,4,3,1
J,Деятельность в области информации и связи,-3.8560882228706728,16.3031975889078,19.09509070855186,2022,4,4,3,1
K,Деятельность финансовая и страховая,-2.433111787182804,15.175355958767714,18.61015039215975,2017,3,4,2,1
