Код раздела,Название раздела,ROFA,K,L,t
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",0.03348060978333004,9966787,130267996.94999999,2017
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",0.03021767296558946,11231579,141675483.4,2018
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",0.03194960130276873,10989834,151689655.6,2019
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",0.02897932419582328,12137603,158328672,2020
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",0.024977298978930716,13966128,177094894.08,2021
A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",0.021058782065514394,17666520,208892048.9,2022
B,Добыча полезных ископаемых,0.024673488166564447,30574226,83917415.88000001,2017
B,Добыча полезных ископаемых,0.022581064028267674,34189631,94964322.60000001,2018
B,Добыча полезных ископаемых,0.019604287156765536,40374439,103004351.73,2019
B,Добыча полезных ископаемых,0.017052444041907946,43390182,108985801.10000001,2020
B,Добыча полезных ископаемых,0.016696763762344906,45980052,119905091.8,2021
B,Добыча полезных ископаемых,0.013400558119059658,57493750,141399773.65,2022
C,Обрабатывающие производства,0.036028951192617356,29022997,391683459.8,2017
C,Обрабатывающие производства,0.03342193003749171,32526553,409940229.59999996,2018
C,Обрабатывающие производства,0.030712635754034788,36410867,436914208.50000006,2019
C,Обрабатывающие производства,0.027510372072995073,40706473,451774885,2020
C,Обрабатывающие производства,0.026797553471641075,44287464,522754314.23999995,2021
C,Обрабатывающие производства,0.02001159825461009,57834822,604592491.5799999,2022
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",0.011229169948002708,19811923,72861250.25,2017
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",0.009788184104161464,23223369,77011055.8,2018
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",0.008312810462647167,27074459,80947956.05,2019
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",0.0070798054576017505,30820307,84434578.80000001,2020
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",0.006963957185462984,33255396,91504048.6,2021
D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",0.005609635862331679,41320466,102118210.4,2022
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",0.007223123663362833,5176701,21706511.2,2017
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",0.006894525572712314,5437002,22789299,2018
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",0.008187723006133763,4726194,24210855.06,2019
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",0.00756545280224382,5129481,24970389,2020
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",0.007417456370658727,5765917,28379359.679999996,2021
E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",0.005796123380658893,6878904,32538447.480000004,2022
F,Строительство,0.14892933489516447,3243081,212807282.31,2017
